激怒
足 0.431415349245
臣下 0.424791574478
ざんぶ 0.410550057888
刻一刻 0.407189160585
取り直し 0.404131948948
知っ 0.39550858736
君 0.388020038605
ひとり合点 0.387212365866
疑う 0.38651651144
これ 0.368058741093

メロス
陽 0.752172470093
セリヌンティウス 0.69949734211
翌 0.655477285385
暴君 0.645670413971
夜 0.607659459114
私 0.602508068085
ディオニス 0.58530241251
蒼白 0.58342641592
きょう 0.570531487465
王 0.55072414875

セリヌンティウス
メロス 0.6994972229
陽 0.689029812813
夜 0.594599127769
翌 0.59260725975
まだ 0.554102838039
私 0.54458963871
蒼白 0.524693369865
いま 0.506581246853
王 0.499005168676
これ 0.495485335588

王
おまえ 0.733167409897
信実 0.707788228989
兄 0.705516636372
暗い 0.690492987633
外 0.657267570496
臣下 0.631605029106
翌 0.621997773647
自分 0.600187003613
このごろ 0.597919464111
妹 0.587644457817

疑う
心 0.760085880756
取り直し 0.660530209541
願い 0.650048851967
様 0.64907169342
懐中 0.615660429001
心構え 0.612200021744
真紅 0.60736900568
帰り 0.592604875565
殺し 0.589504122734
牧人 0.588057458401
